Metric		Current
UNIT_SIZE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_BACKEND_NEGLIGIBLE_RISK_LOC		14
UNIT_SIZE_COMPONENT_BACKEND_NEGLIGIBLE_RISK_PERCENTAGE		15.05
UNIT_SIZE_COMPONENT_BACKEND_NEGLIGIBLE_RISK_COUNT		2
UNIT_SIZE_COMPONENT_BACKEND_LOW_RISK_LOC		28
UNIT_SIZE_COMPONENT_BACKEND_LOW_RISK_PERCENTAGE		30.11
UNIT_SIZE_COMPONENT_BACKEND_LOW_RISK_COUNT		2
UNIT_SIZE_COMPONENT_BACKEND_MEDIUM_RISK_LOC		51
UNIT_SIZE_COMPONENT_BACKEND_MEDIUM_RISK_PERCENTAGE		54.84
UNIT_SIZE_COMPONENT_BACKEND_MEDIUM_RISK_COUNT		2
UNIT_SIZE_COMPONENT_BACKEND_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_BACKEND_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_BACKEND_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_BACKEND_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_BACKEND_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_BACKEND_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_LOC		8
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_PERCENTAGE		19.51
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_COUNT		1
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_LOC		11
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_PERCENTAGE		26.83
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_COUNT		1
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_LOC		22
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_PERCENTAGE		53.66
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_COUNT		1
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_LOC		97
UNIT_SIZE_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_PERCENTAGE		39.27
UNIT_SIZE_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_COUNT		21
UNIT_SIZE_COMPONENT_FRONTEND_LOW_RISK_LOC		12
UNIT_SIZE_COMPONENT_FRONTEND_LOW_RISK_PERCENTAGE		4.86
UNIT_SIZE_COMPONENT_FRONTEND_LOW_RISK_COUNT		1
UNIT_SIZE_COMPONENT_FRONTEND_MEDIUM_RISK_LOC		138
UNIT_SIZE_COMPONENT_FRONTEND_MEDIUM_RISK_PERCENTAGE		55.87
UNIT_SIZE_COMPONENT_FRONTEND_MEDIUM_RISK_COUNT		5
UNIT_SIZE_COMPONENT_FRONTEND_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_FRONTEND_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_FRONTEND_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_FRONTEND_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_FRONTEND_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_FRONTEND_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_LOC		119
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_PERCENTAGE		31.23
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_COUNT		24
UNIT_SIZE_EXTENSION_JS_LOW_RISK_LOC		51
UNIT_SIZE_EXTENSION_JS_LOW_RISK_PERCENTAGE		13.39
UNIT_SIZE_EXTENSION_JS_LOW_RISK_COUNT		4
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_LOC		211
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_PERCENTAGE		55.38
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_COUNT		8
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_PERCENTAGE		0
